id,link,content,date,retweets,favorites,mentions,hashtags,geo
238288089003458562,https://twitter.com/realDonaldTrump/status/238288089003458562,". @ washingtonpost thinks @ IvankaTrump is ""What Washington's Social Scene Needs"" http://wapo.st/O5Hfq2 Truth is, she's amazing.",2012-08-22 16:54:42,27,20,@ @,,
238292418531827713,https://twitter.com/realDonaldTrump/status/238292418531827713,"My shirts, ties and fragrance are doing ""great"" at @ Macys--try them! Make fantastic gifts.",2012-08-22 17:11:54,113,77,@,,
238300938983600128,https://twitter.com/realDonaldTrump/status/238300938983600128,. @ BarackObama was caught telling Russian PM @ MedvedevRussiaE that he can be more 'flexible' in his second term. Russia thinks he's weak.,2012-08-22 17:45:45,319,189,@ @,,
238347103703793664,https://twitter.com/realDonaldTrump/status/238347103703793664,Gas prices are soaring. $4.12 in CA. OPEC is laughing at how stupid we are.,2012-08-22 20:49:12,293,35,,,
238347828592771075,https://twitter.com/realDonaldTrump/status/238347828592771075,"Putin just sent a Russian nuclear sub to the Gulf of Mexico. @ BarackObama can't be bothered, he is too concerned with @ MittRomney's taxes.",2012-08-22 20:52:05,730,175,@ @,,
238348213197885440,https://twitter.com/realDonaldTrump/status/238348213197885440,We are about to have a record $500B trade deficit with the Chinese this year. That money should be back here financing jobs in America.,2012-08-22 20:53:36,308,51,,,
238360053160218624,https://twitter.com/realDonaldTrump/status/238360053160218624,Congratulations to @ Yankees Derek Jeter on passing Eddie Murray last night to become the 11th all-time @ MLB hit leader.,2012-08-22 21:40:39,87,14,@ @,,
238367216033222657,https://twitter.com/realDonaldTrump/status/238367216033222657,". @ EdRendell's book, ""A Nation of Wusses"" is an excellent read--especially page 10. Go get it!",2012-08-22 22:09:07,41,21,@,,
238367663284449280,https://twitter.com/realDonaldTrump/status/238367663284449280,"Can't wait to meet patriotic small business owners next week in Sarasota and Tampa! Hey @ BarackObama, We Did Build It!",2012-08-22 22:10:54,175,100,@,,
238372189810864129,https://twitter.com/realDonaldTrump/status/238372189810864129,". @ BarackObama said he doesn't take the Navy Seals campaigning against him ""too seriously.""",2012-08-22 22:28:53,212,49,@,,
238372607806828544,https://twitter.com/realDonaldTrump/status/238372607806828544,It's Wednesday. I wonder how much money @ BarackObama borrowed from China today?,2012-08-22 22:30:33,597,163,@,,
238629514492649472,https://twitter.com/realDonaldTrump/status/238629514492649472,"Here's a sneak peek at the @ DNC convention theme: ""It's not our fault. Blame Bush. Oh, and government built it.""",2012-08-23 15:31:24,253,47,@,,
238632475843244033,https://twitter.com/realDonaldTrump/status/238632475843244033,"""Change is not a destination, just as hope is not a strategy."" -- Rudy Giuliani",2012-08-23 15:43:10,725,216,,,
238639359153303554,https://twitter.com/realDonaldTrump/status/238639359153303554,One of the best moves I made early in my career was buying the air rights from Tiffany's flagship. Trump Tower gleams over Fifth Avenue.,2012-08-23 16:10:31,88,42,,,
238641630821896192,https://twitter.com/realDonaldTrump/status/238641630821896192,It's sad to see once decent newspapers like @ USAToday failing so badly. I just don't know if they can be saved.,2012-08-23 16:19:33,58,8,@,,
238669240222224384,https://twitter.com/realDonaldTrump/status/238669240222224384,Today we just passed 1.4 million twitter followers..,2012-08-23 18:09:15,37,26,,,
238670207034482691,https://twitter.com/realDonaldTrump/status/238670207034482691,"Via @ dcexaminer: "" @ realDonaldTrump to speak at @ LibertyU""http://bit.ly/P3CO0W",2012-08-23 18:13:06,32,8,@ @ @,,
238678920281616384,https://twitter.com/realDonaldTrump/status/238678920281616384,"Great new ad from @ MittRomney titled ""Nothing's Free"" http://bit.ly/P3EdEv detailing both the high costs and taxes of ObamaCare.",2012-08-23 18:47:43,106,18,@,,
238690124551049216,https://twitter.com/realDonaldTrump/status/238690124551049216,It's Thursday. I wonder how much money @ BarackObama drained from Medicare today to finance ObamaCare.,2012-08-23 19:32:14,283,50,@,,
238692460820303872,https://twitter.com/realDonaldTrump/status/238692460820303872,It is truly an honor that His Eminence Archbishop of New York @ CardinalDolan will be delivering the benediction at the @ RNC convention.,2012-08-23 19:41:32,89,12,@ @,,
238699533620637696,https://twitter.com/realDonaldTrump/status/238699533620637696,Wind turbines are a scourge to communities and wildlife. They are environmental disasters.,2012-08-23 20:09:38,157,39,,,
238701009818509312,https://twitter.com/realDonaldTrump/status/238701009818509312,"""Statesman of the Year"" in Sarasota, FL on Sunday night--will be terrific--a total sellout.",2012-08-23 20:15:30,29,5,,,
238702061011734529,https://twitter.com/realDonaldTrump/status/238702061011734529,"In any business venture, remember that branding is one of the most crucial aspects of your enterprise. Fight hard for that brand of yours.",2012-08-23 20:19:40,576,174,,,
238709733215834113,https://twitter.com/realDonaldTrump/status/238709733215834113,Amazing-- @ VanityFair survived one more day without folding. The clock is ticking...,2012-08-23 20:50:10,46,52,@,,
