id,link,content,date,retweets,favorites,mentions,hashtags,geo
322224840528515072,https://twitter.com/realDonaldTrump/status/322224840528515072,""" @ ElliotD224: @ realDonaldTrump do you think Bloomberg is a good mayor?"" Yes!",2013-04-11 07:49:23,331,233,@ @,,
322225486648446977,https://twitter.com/realDonaldTrump/status/322225486648446977,@ maggieaveu_a Thanks and say hi to your son!,2013-04-11 07:51:57,1,1,@,,
322226296925061121,https://twitter.com/realDonaldTrump/status/322226296925061121,""" @ Ter2885: @ realDonaldTrump just bought one for my son's bday celebration to Vegas! # gorgeous"" Great!",2013-04-11 07:55:10,5,5,@ @,#,
322233389589602304,https://twitter.com/realDonaldTrump/status/322233389589602304,@ RealDougClark Great!,2013-04-11 08:23:21,2,0,@,,
322235047103049728,https://twitter.com/realDonaldTrump/status/322235047103049728,""" @ FrankRomeo31: @ realDonaldTrump @ garthdahdah don't forget SUCCESS! The most complimented cologne in my collection... by far!"" Thanks!",2013-04-11 08:29:56,17,9,@ @ @,,
322237088537931778,https://twitter.com/realDonaldTrump/status/322237088537931778,@JTHolder2010 Great!,2013-04-11 08:38:03,7,12,@JTHolder2010,,
322290543969329152,https://twitter.com/realDonaldTrump/status/322290543969329152,I feel so badly for Mark Cuban-the Dallas Mavericks were just eliminated from the playoffs and his partners are pissed. Very sad!,2013-04-11 12:10:28,170,174,,,
322317426366758913,https://twitter.com/realDonaldTrump/status/322317426366758913,""" @ salesdan48: @ realDonaldTrump Why is Anthony Weiner attempting to run for Mayor ?"" Because he is delusional!",2013-04-11 13:57:17,48,42,@ @,,
322323095413194752,https://twitter.com/realDonaldTrump/status/322323095413194752,""" @ salesdan48: @ realDonaldTrump Mark Cuban is a sad, unhappy man. A facade, masquerading as a Trump wannabe."" Very interesting!",2013-04-11 14:19:49,68,72,@ @,,
322325475659763712,https://twitter.com/realDonaldTrump/status/322325475659763712,""" @ rodmonium91: @ realDonaldTrump My 12yr old nephew is your biggest fan! Has # Success cologne, watches Apprentice, wants to be like u""Say hi!",2013-04-11 14:29:16,7,10,@ @,#,
322325728286871553,https://twitter.com/realDonaldTrump/status/322325728286871553,"""@cherish_how: @ realDonaldTrump I'm gonna defend my thesis tomorrow. Any advice for people who have stage fright like me?"" Be cool!",2013-04-11 14:30:16,11,12,@cherish_how @,,
322327742609756160,https://twitter.com/realDonaldTrump/status/322327742609756160,""" @ mikefroccaro: @ realDonaldTrump I wear my Donald trump tie every week. Incredible."" Great!",2013-04-11 14:38:17,13,17,@ @,,
322384761379225600,https://twitter.com/realDonaldTrump/status/322384761379225600,"@ MdAhGOD Not much, it's too easy!",2013-04-11 18:24:51,7,2,@,,
322384862499729409,https://twitter.com/realDonaldTrump/status/322384862499729409,@ DohaBen I will be there soon!,2013-04-11 18:25:15,3,1,@,,
322385100388040705,https://twitter.com/realDonaldTrump/status/322385100388040705,@Bogart_Ron True!,2013-04-11 18:26:12,2,0,@Bogart_Ron,,
322385552177508352,https://twitter.com/realDonaldTrump/status/322385552177508352,@ SyxxPac1980 @cherish_how Thanks.,2013-04-11 18:27:59,3,2,@ @cherish_how,,
322385700907540481,https://twitter.com/realDonaldTrump/status/322385700907540481,@ UKWildcatFan96 True!,2013-04-11 18:28:35,3,1,@,,
322385973835083776,https://twitter.com/realDonaldTrump/status/322385973835083776,"@ BklynBorn71 @ dvorlando Wonderful news, thanks.",2013-04-11 18:29:40,0,0,@ @,,
322394287939657728,https://twitter.com/realDonaldTrump/status/322394287939657728,. @ alexsalmond @ pressjournal RT @ rdowns @ realdonaldtrump Margaret Thatcher NEVER would have allowed those wind mill monstrosities.,2013-04-11 19:02:42,33,13,@ @ @ @,,
322398059554283520,https://twitter.com/realDonaldTrump/status/322398059554283520,“Go for the jugular so that people watching will not want to mess with you.” – Think Big,2013-04-11 19:17:41,327,221,,,
322398196670267393,https://twitter.com/realDonaldTrump/status/322398196670267393,Opportunities only present themselves if you are out there looking for them. Be aggressive and seize them when they come.,2013-04-11 19:18:14,803,326,,,
322403197010460672,https://twitter.com/realDonaldTrump/status/322403197010460672,Congratulations to @ IvankaTrump and Jared on the big news. I will have yet another grandchild this fall!,2013-04-11 19:38:06,85,132,@,,
322404580925259777,https://twitter.com/realDonaldTrump/status/322404580925259777,Congratulations to @ nyknicks on winning their first Atlantic Division title since 1994. @ carmeloanthony is a great New Yorker and Knick!,2013-04-11 19:43:36,310,228,@ @,,
322407604628361216,https://twitter.com/realDonaldTrump/status/322407604628361216,I really liked everyone at the @ WWE Hall of Fame ceremony--fantastic people!,2013-04-11 19:55:37,35,19,@,,
322408244599468032,https://twitter.com/realDonaldTrump/status/322408244599468032,. @ Jimmyv3 @ WWE Greatly appreciate your nice words re WrestleMania. That’s why you are such a respected writer.,2013-04-11 19:58:10,5,1,@ @,,
322420567863078912,https://twitter.com/realDonaldTrump/status/322420567863078912,The time has come. THEGaryBusey will be project mgr on this Sunday's All-Star Celebrity @ ApprenticeNBC. MUST SEE TV!!! Back to 2 hrs.,2013-04-11 20:47:08,64,28,@,,
322421108693426176,https://twitter.com/realDonaldTrump/status/322421108693426176,"# TBT @ DonaldJTrumpJr, @ IvankaTrump, @ EricTrump, and I 20 years ago- http://instagram.com/p/X-ZsvgmhXv/",2013-04-11 20:49:17,35,51,@ @ @,#,
322433076967907328,https://twitter.com/realDonaldTrump/status/322433076967907328,Obama’s budget spends $2B making our navy ships algae-powered http://thebea.st/YlCezS The strong world is laughing at us.,2013-04-11 21:36:50,123,41,,,
322446921379753984,https://twitter.com/realDonaldTrump/status/322446921379753984,"Mr. President, it is time to lead on the Korean crisis. Make a statement from the Rose Garden and send a strong message to the man child!",2013-04-11 22:31:51,519,231,,,
322448548539031552,https://twitter.com/realDonaldTrump/status/322448548539031552,"“Interested is interesting. If you remember that simple rule, you will have no trouble making conversation.”- Think Like a Billionaire",2013-04-11 22:38:19,330,234,,,
322455245865246720,https://twitter.com/realDonaldTrump/status/322455245865246720,@ rodmonium91 Probably Mark.,2013-04-11 23:04:56,0,2,@,,
322455366669590528,https://twitter.com/realDonaldTrump/status/322455366669590528,@ _AJPerez @ WWE @ VinceMcMahon I hope so!,2013-04-11 23:05:25,2,1,@ @ @,,
322455593015201793,https://twitter.com/realDonaldTrump/status/322455593015201793,@ AhmedMallick2 @ WWE Thanks.,2013-04-11 23:06:18,2,1,@ @,,
322455797491695616,https://twitter.com/realDonaldTrump/status/322455797491695616,@ ryanrockefelker Thank you.,2013-04-11 23:07:07,2,0,@,,
322494500859678722,https://twitter.com/realDonaldTrump/status/322494500859678722,""" @ ChrisLawGolf: Playing @ realDonaldTrump International Links tomoro. Can't wait! Supposed to be amazing! # beentoldtotakealotofballs"" Enjoy!",2013-04-12 01:40:55,10,11,@ @,#,
322591901842825217,https://twitter.com/realDonaldTrump/status/322591901842825217,"""@rangi_mats: @ realDonaldTrump Miss Peru Universe 2008 Karol Castillo, passed away last night :( # MissUniverse # MissPeru"" A wonderful person",2013-04-12 08:07:57,41,21,@rangi_mats @,# #,
322668339975577601,https://twitter.com/realDonaldTrump/status/322668339975577601,""" @ SStew3: @ realDonaldTrump we have NO leadership"" No kidding!",2013-04-12 13:11:41,20,19,@ @,,
322672900744286208,https://twitter.com/realDonaldTrump/status/322672900744286208,I can't believe we are not asking South Korea for anything. They make a fortune on us while we spend a fortune defending them-how stupid!,2013-04-12 13:29:49,284,148,,,
322675037519892480,https://twitter.com/realDonaldTrump/status/322675037519892480,"Don't talk to me about Bush, I was never a defender or a fan!",2013-04-12 13:38:18,97,75,,,
322675662366326785,https://twitter.com/realDonaldTrump/status/322675662366326785,""" @ rodmonium91: @ realDonaldTrump I've come to the conclusion the only help for America, is TRUMP 2016 for President!"" Probably so!",2013-04-12 13:40:47,109,108,@ @,,
322676298642235393,https://twitter.com/realDonaldTrump/status/322676298642235393,""" @ ryelki: @ realDonaldTrump @ SStew3 WE HAVE NO JOBS, NO HOPE AND NO CASH. TEN YEARS AGO WE HAD SOME OR ALL OF THOSE THINGS"" Interesting!",2013-04-12 13:43:19,588,665,@ @ @,,
322676486320570368,https://twitter.com/realDonaldTrump/status/322676486320570368,"""@RickShauntz: @ realDonaldTrump @ SStew3 we need the art of the deal"" Very true!",2013-04-12 13:44:04,8,4,@RickShauntz @ @,,
322676835664150528,https://twitter.com/realDonaldTrump/status/322676835664150528,""" @ ctobin22: @ realDonaldTrump if u were to suggest 1 most important thing to president Obama would b??"" Leadership!",2013-04-12 13:45:27,26,13,@ @,,
322677358995849216,https://twitter.com/realDonaldTrump/status/322677358995849216,"""@MichaelNidiffer: @ realDonaldTrump Thoughts on Kerry visiting Seoul amid missile crisis.."" Tell them that they must pay us for protection!",2013-04-12 13:47:32,25,21,@MichaelNidiffer @,,
322679263675432960,https://twitter.com/realDonaldTrump/status/322679263675432960,"""@wallsburg: @ realDonaldTrump Why did you support Obama in 08?"" I didn't dummy!",2013-04-12 13:55:06,49,48,@wallsburg @,,
322680253258559489,https://twitter.com/realDonaldTrump/status/322680253258559489,""" @ DJHago: @ realDonaldTrump Re Scotland. I'm in Scotland and you are absolutley right about the wind farms. Hideous and horrible things.""",2013-04-12 13:59:02,20,9,@ @,,
